BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.steam_pressure_in,BackPresTurbineOP.steam_temperature_in,BackPresTurbineOP.steam_pressure_out,BackPresTurbineOP.steam_temperature_out,BackPresTurbineOP.electricity_generation
44.8575,3.378333333,441.68,0.79,325.2141667,2.184166667
44.83727273,3.389090909,442.1727273,0.79,325.5354545,2.190909091
44.19545455,3.405454545,442.4027273,0.78,325.5918182,2.170909091
44.02666667,3.419166667,442.4783333,0.78,325.6066667,2.17
43.87545455,3.427272727,442.1827273,0.78,325.4936364,2.169090909
43.99727273,3.418181818,441.8754545,0.78,325.2381818,2.179090909
44.07,3.415454545,441.6027273,0.78,325.0718182,2.18
43.46916667,3.395833333,441.4133333,0.779166667,324.8758333,2.1375
43.35,3.379090909,441.3390909,0.770909091,324.8481818,2.119090909
43.543,3.363,441.43,0.773,324.986,2.119
44.067,3.338,441.75,0.78,325.206,2.127
44.71545455,3.315454545,441.7936364,0.78,325.5936364,2.148181818
45.71454545,3.283636364,441.7754545,0.78,325.9663636,2.172727273
45.50333333,3.298888889,441.6188889,0.78,326.2433333,2.181111111
45.24583333,3.3,441.355,0.78,326.3466667,2.164166667
45.22583333,3.298333333,441.1008333,0.78,326.3666667,2.166666667
45.95090909,3.283636364,440.74,0.772727273,326.2427273,2.208181818
45.91454545,3.286363636,440.2218182,0.77,325.9445455,2.214545455
45.41583333,3.2775,439.6083333,0.765833333,325.5691667,2.185
44.83666667,3.284166667,438.8291667,0.76,325.1125,2.160833333
44.7275,3.275833333,438.2183333,0.76,324.6,2.155833333
45.59727273,3.261818182,437.8145455,0.758181818,324.1336364,2.200909091
45.70454545,3.251818182,437.4918182,0.75,323.6081818,2.208181818
45.02181818,3.251818182,437.3790909,0.745454545,323.1309091,2.180909091
45.28083333,3.241666667,437.4775,0.743333333,322.8433333,2.1875
45.78,3.239166667,437.4766667,0.74,322.5983333,2.225833333
45.05545455,3.253636364,437.7054545,0.733636364,322.2218182,2.208181818
44.29,3.26,437.8509091,0.73,321.8190909,2.18
44.61636364,3.326363636,438.1236364,0.727272727,321.48,2.246363636
44.02,3.320909091,438.4327273,0.721818182,320.8045455,2.216363636
44.36166667,3.33,438.73,0.73,320.595,2.235
45.44727273,3.338181818,438.8772727,0.735454545,320.4063636,2.302727273
47.53,3.33,438.8841667,0.745,320.1525,2.421666667
48.31083333,3.33,438.5833333,0.754166667,319.795,2.4625
49.15,3.325,438.03,0.766,319.711,2.496
49.04727273,3.324545455,437.2863636,0.77,319.4863636,2.477272727
49.12083333,3.354166667,436.8533333,0.770833333,319.4641667,2.4875
48.907,3.327,436.81,0.77,319.414,2.458
49.58333333,3.304444444,437.18,0.772222222,319.5477778,2.494444444
50.51,3.267272727,437.7790909,0.78,319.6209091,2.535454545
50.406,3.253,438.33,0.78,320.002,2.523
50.64272727,3.243636364,438.9145455,0.78,320.4927273,2.529090909
49.80090909,3.297272727,439.4681818,0.78,320.8754545,2.502727273
49.745,3.268333333,439.9775,0.779166667,321.3358333,2.480833333
50.52363636,3.249090909,440.44,0.78,321.8118182,2.514545455
50.21666667,3.2775,440.5066667,0.79,322.2333333,2.5025
50.504,3.282,440.24,0.79,322.528,2.508
47.23583333,3.3375,439.7058333,0.784166667,322.7733333,2.306666667
45.701,3.351,439.5,0.782,323.375,2.206
44.891,3.366,439.41,0.784,323.846,2.169
44.81,3.363,439.43,0.788,324.029,2.163
44.74083333,3.364166667,439.3416667,0.79,324.2991667,2.1475
44.47916667,3.358333333,439.3916667,0.796666667,324.6008333,2.115
42.96727273,3.356363636,439.7945455,0.795454545,325.0845455,2.023636364
42.03272727,3.362727273,440.4127273,0.796363636,325.7645455,1.975454545
41.20090909,3.39,441.2054545,0.8,326.3763636,1.946363636
40.334,3.422,442.255,0.8,326.909,1.915
39.97090909,3.450909091,443.7145455,0.799090909,327.4554545,1.914545455
38.92636364,3.465454545,445.2845455,0.79,327.9627273,1.871818182
38.1425,3.471666667,446.4575,0.788333333,328.5016667,1.829166667
