ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.electricity_generation,ExtCondensTurbineOP.,ExtCondensTurbineOP.,ExtCondensTurbineOP.
62.88833333,25.65583333,8.005833333,,,
62.94916667,25.7725,8.000833333,,,
63.39833333,26.79666667,8.0325,,,
64.28,27.90166667,8.178333333,,,
65.80416667,29.1575,8.2925,,,
64.51583333,28.1225,8.269166667,,,
65.73583333,28.44666667,8.39,,,
63.42333333,25.3275,8.375,,,
65.38416667,27.535,8.4975,,,
65.15083333,27.43833333,8.488333333,,,
67.9275,29.8375,8.6725,,,
64.19416667,25.48166667,8.558333333,,,
66.28416667,27.67916667,8.690833333,,,
63.6,24.04416667,8.615,,,
63.95416667,24.21333333,8.639166667,,,
64.32416667,25.2175,8.655,,,
64.58333333,25.265,8.666666667,,,
64.1575,24.69083333,8.704166667,,,
65.315,26.30166667,8.7825,,,
64.11666667,25.06166667,8.760833333,,,
64.57833333,25.53666667,8.715833333,,,
65.21416667,26.15833333,8.7025,,,
65.31916667,26.49,8.651666667,,,
64.70083333,25.73166667,8.569166667,,,
64.82833333,25.68333333,8.559166667,,,
64.19083333,24.64166667,8.495,,,
63.76083333,24.27166667,8.445,,,
64.16416667,24.77666667,8.439166667,,,
64.12416667,24.53583333,8.410833333,,,
64.295,24.97666667,8.405833333,,,
63.17416667,23.65333333,8.314166667,,,
64.2275,24.9525,8.358333333,,,
63.17,23.48166667,8.33,,,
63.57333333,24.23083333,8.326666667,,,
64.04,25.17083333,8.3225,,,
65.43166667,26.98416667,8.3475,,,
64.6675,26.53583333,8.289166667,,,
64.745,26.65666667,8.271666667,,,
65.5825,27.48,8.2875,,,
67.40083333,28.33166667,8.54,,,
66.72833333,25.80666667,8.664166667,,,
68.17916667,27.99083333,8.6975,,,
67.58166667,27.6975,8.610833333,,,
68.29,28.48333333,8.629166667,,,
68.06166667,28.27916667,8.603333333,,,
67.13333333,28.17166667,8.5175,,,
67.00083333,27.76916667,8.533333333,,,
66.95416667,26.3125,8.675833333,,,
66.49916667,26.58416667,8.656666667,,,
67.1625,27.88,8.66,,,
68.30666667,29.10583333,8.716666667,,,
68.11416667,28.5975,8.675833333,,,
67.34333333,28.27083333,8.609166667,,,
67.73583333,28.66416667,8.63,,,
67.18,28.3325,8.5825,,,
68.28166667,29.165,8.655,,,
66.92333333,27.35833333,8.639166667,,,
68.48166667,28.53666667,8.781666667,,,
67.27,27.655,8.693333333,,,
67.94583333,28.64916667,8.703333333,,,
68.07583333,29.17166667,8.691666667,,,
68.11666667,29.57,8.664166667,,,
67.9175,29.4875,8.61,,,
68.38333333,29.99583333,8.615833333,,,
68.43583333,30.65333333,8.589166667,,,
69.03916667,31.15583333,8.62,,,
69.25416667,30.79083333,8.68,,,
68.16,29.21416667,8.6425,,,
67.78666667,28.06083333,8.7275,,,
68.79666667,28.91166667,8.8075,,,
67.68416667,28.03333333,8.711666667,,,
66.91416667,27.2375,8.684166667,,,
68.35416667,28.38083333,8.79,,,
68.05416667,27.8525,8.839166667,,,
67.61333333,27.71666667,8.794166667,,,
67.495,27.745,8.76,,,
68.195,28.16666667,8.7975,,,
67.76416667,28.1775,8.740833333,,,
68.12416667,27.46166667,8.910833333,,,
68.5425,27.83333333,8.916666667,,,
67.99583333,27.27,8.89,,,
67.77,27.21916667,8.878333333,,,
67.7025,26.9025,8.8425,,,
66.745,26.20166667,8.765,,,
66.67083333,26.755,8.728333333,,,
67.205,27.23833333,8.715,,,
67.08416667,27.35083333,8.730833333,,,
67.58333333,26.28083333,8.93,,,
67.62416667,26.26333333,8.925833333,,,
66.69833333,24.42416667,8.948333333,,,
65.6675,23.195,8.894166667,,,
66.005,24.41083333,8.826666667,,,
67.16416667,25.54666667,8.908333333,,,
66.40416667,25.36916667,8.850833333,,,
67.01916667,25.965,8.823333333,,,
66.2025,24.93333333,8.820833333,,,
66.12916667,24.81333333,8.813333333,,,
65.7975,23.48,8.891666667,,,
66.55666667,23.25416667,9.068333333,,,
66.285,22.405,9.131666667,,,
66.51833333,21.9825,9.204166667,,,
64.8375,19.90083333,9.166666667,,,
64.565,19.915,9.14,,,
65.16,19.70916667,9.306666667,,,
64.75916667,18.9825,9.335833333,,,
64.87166667,19.67333333,9.3375,,,
65.11,20.74333333,9.284166667,,,
65.53,20.495,9.4025,,,
65.0625,20.44333333,9.355,,,
65.295,20.57916667,9.338333333,,,
65.085,20.46333333,9.289166667,,,
65.75333333,20.525,9.404166667,,,
64.8075,19.15083333,9.33,,,
65.47333333,20.29833333,9.303333333,,,
65.97416667,21.26333333,9.354166667,,,
65.17916667,21.2325,9.1425,,,
64.3375,20.20416667,9.010833333,,,
65.96916667,22.67916667,9.121666667,,,
65.57583333,22.48833333,9.068333333,,,
65.83666667,22.9575,9.024166667,,,
65.2225,22.11166667,9.004166667,,,
65.6775,22.93333333,8.994166667,,,
66.5075,24.44583333,8.986666667,,,
65.2225,22.4925,8.923333333,,,
65.75583333,23.52,8.900833333,,,
65.395,22.745,8.876666667,,,
65.86083333,23.42416667,8.8975,,,
64.95666667,21.78416667,8.879166667,,,
63.88666667,20.83166667,8.814166667,,,
64.08666667,19.8775,8.935833333,,,
63.58166667,19.43666667,8.89,,,
64.08916667,17.87333333,9.1425,,,
64.32,18.16,9.163333333,,,
65.54166667,20.82583333,9.139166667,,,
66.01416667,22.27666667,9.0925,,,
66.31166667,23.46,9.018333333,,,
66.74,24.43333333,8.964166667,,,
66.11583333,24.2025,8.845833333,,,
66.20666667,25.03166667,8.791666667,,,
65.67583333,24.28416667,8.715,,,
65.87416667,24.16333333,8.730833333,,,
64.8425,23.36666667,8.666666667,,,
64.4725,22.13583333,8.7125,,,
64.99583333,21.74,8.868333333,,,
63.02583333,18.88,8.865,,,
