ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.electricity_generation
79.515,37.00166667,10.0125
78.565,36.4725,9.990833333
79.39166667,37.01166667,10.03083333
78.4125,35.03166667,10.15333333
77.86166667,34.9075,10.13416667
78.09166667,35.48916667,10.13083333
78.73416667,36.43833333,10.14416667
79.10166667,37.27583333,10.15
79.78083333,38.1425,10.1825
81.3075,38.9275,10.3425
82.07416667,39.14416667,10.41916667
81.9275,39.10833333,10.39666667
80.38,38.16666667,10.2825
80.01916667,37.9825,10.22583333
80.4525,38.025,10.27416667
79.4025,36.91166667,10.275
79.24333333,36.85166667,10.235
80.21583333,37.01833333,10.3625
80.18666667,37.28,10.3525
81.4025,38.41333333,10.39
79.8325,37.5675,10.26833333
80.9775,39.395,10.23666667
81.16,39.33916667,10.24416667
80.19,38.48166667,10.12916667
80.17416667,38.73333333,10.1275
79.54,37.92,10.125
79.2425,36.55583333,10.25
80.795,37.71916667,10.35916667
78.8525,35.95416667,10.28416667
79.08666667,36.6075,10.24916667
80.19916667,38.08166667,10.27916667
79.99083333,37.6725,10.29333333
81.93916667,39.565,10.35
81.71833333,39.65416667,10.2675
82.80583333,40.8275,10.26333333
81.15666667,40.82833333,10.01333333
81.88583333,41.4725,10.005
79.98083333,39.90333333,9.885833333
80.15083333,39.5425,9.871666667
79.0325,38.4,9.8475
80.02833333,39.50666667,9.863333333
80.5075,38.93083333,10.065
79.42916667,37.59333333,10.06333333
79.17166667,37.67833333,10.00833333
79.2575,38.235,9.990833333
79.53833333,38.70416667,9.995
80.42,39.34666667,10.02083333
79.76666667,38.63166667,10.01833333
79.5575,38.68916667,9.965
79.52916667,39.07083333,9.959166667
80.23,39.8475,9.97
80.84166667,39.5575,10.08083333
79.7325,39.27416667,9.964166667
80.55333333,39.87416667,9.936666667
80.9275,40.0475,9.98
81.10416667,40.29916667,9.915833333
80.84083333,40.77916667,9.8575
79.3025,39.16416667,9.713333333
79.3675,39.51,9.7025
80.12,39.445,9.795
78.79666667,38.82916667,9.675
80.17083333,40.02916667,9.751666667
78.72,38.7425,9.656666667
78.99833333,39.41083333,9.670833333
79.43083333,39.56833333,9.6825
76.72166667,37.83,9.510833333
74.2325,38.46916667,8.979166667
75.67666667,39.81,9.066666667
75.33833333,39.47166667,9.095833333
76.4325,39.22416667,9.300833333
75.75416667,38.64333333,9.281666667
76.2775,39.13583333,9.340833333
76.86166667,39.39916667,9.424166667
76.05083333,38.41916667,9.378333333
77.03583333,38.99166667,9.5375
76.56583333,38.26416667,9.500833333
76.8125,38.51166667,9.554166667
76.4475,37.96833333,9.490833333
76.50833333,38.28,9.508333333
77.585,37.7175,9.830833333
76.96416667,37.45083333,9.778333333
77.47166667,37.79916667,9.814166667
76.80166667,37.29666667,9.761666667
77.64166667,38.2925,9.814166667
77.5325,38.23833333,9.785
77.505,38.45,9.778333333
77.09083333,38.24416667,9.700833333
77.46083333,38.3075,9.723333333
76.19416667,36.96416667,9.624166667
75.55083333,36.6325,9.493333333
76.7575,37.26,9.648333333
75.50583333,36.13,9.501666667
75.6375,36.77666667,9.453333333
75.23333333,36.23166667,9.378333333
75.70583333,36.58,9.455833333
74.955,35.77333333,9.420833333
75.25166667,36.39333333,9.413333333
75.32666667,37.1525,9.368333333
75.50416667,37.36333333,9.3375
75.06583333,37.93416667,9.204166667
74.79166667,38.03333333,9.125
74.28833333,37.31333333,9.053333333
74.45416667,37.12083333,9.088333333
