ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_pressure_in,ExtCondensTurbineOP.steam_temperature_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.steam_pressure_side,ExtCondensTurbineOP.steam_temperature_side,ExtCondensTurbineOP.steam_pressure_out,ExtCondensTurbineOP.steam_temperature_out,ExtCondensTurbineOP.electricity_generation
81.88,3.343333333,432.1116667,38.81333333,0.7525,305.025,-87.84833333,46.34333333,10.385
82.45833333,3.37,432.445,39.01,0.76,304.8775,-87.81,46.32583333,10.45416667
83.10333333,3.390833333,432.7725,38.82416667,0.761666667,304.85,-87.7625,46.35916667,10.6
83.35166667,3.408333333,433.0241667,38.28083333,0.76,304.9166667,-87.6925,46.3375,10.76083333
83.92083333,3.420833333,433.345,37.41666667,0.76,304.8991667,-87.6225,46.47416667,11.025
84.75166667,3.4175,433.4508333,37.10833333,0.755833333,305.8375,-87.54166667,46.54,11.22083333
84.775,3.42,433.4175,37.49666667,0.76,306.6058333,-87.505,46.7875,11.20666667
84.38833333,3.424166667,433.1666667,37.0525,0.756666667,307.2616667,-87.46916667,46.94166667,11.15
84.74833333,3.405,433.2283333,37.02083333,0.760833333,308.3841667,-87.41916667,47.12916667,11.21916667
84.46416667,3.3975,433.63,36.8575,0.759166667,309.6458333,-87.37,47.1675,11.23583333
84.595,3.373333333,434.0191667,37.27333333,0.76,310.8466667,-87.31333333,47.27833333,11.24083333
83.92666667,3.375833333,434.5683333,36.48916667,0.754166667,312.1408333,-87.27083333,47.42833333,11.26583333
84.20333333,3.345833333,435.0058333,36.46666667,0.76,313.52,-87.22333333,47.43916667,11.28833333
83.32583333,3.365833333,435.3558333,35.0875,0.755,314.0325,-87.18083333,47.52833333,11.285
84.045,3.353333333,435.8525,35.66416667,0.7625,314.3508333,-87.13833333,47.52583333,11.32833333
84.20916667,3.355,436.02,35.42666667,0.761666667,314.435,-87.09416667,47.61083333,11.37333333
83.51363636,3.360909091,435.9209091,34.85545455,0.76,314.5245455,-87.05636364,47.67363636,11.33090909
83.59666667,3.385,435.7358333,35.29833333,0.761666667,312.8725,-87.02916667,47.74083333,11.31083333
83.54166667,3.373333333,435.57,35.315,0.760833333,312.7125,-86.98916667,47.705,11.2925
