eturb_m1_steam_flow_in,eturb_m1_steam_flow_side,eturb_m1_electricity_generation,eturb_m2_steam_flow_in,eturb_m2_steam_flow_side,eturb_m2_electricity_generation
-0.3425,-0.12,-0.046666667,0.325,0.241666667,0.011666667
0.919166667,0.2975,0.0125,1.106666667,0.166666667,0.229166667
-0.583333333,-0.203333333,-0.094166667,-0.625,-0.218333333,-0.181666667
0.0975,0.14,-0.054166667,-0.104166667,0.153333333,-0.073333333
-0.954166667,-0.3125,-0.135,-0.4875,-0.0275,-0.1675
1.215,0.909166667,0.055833333,0.2175,0.058333333,0.029166667
0.664166667,0.388333333,0.031666667,-0.146666667,0.11,-0.013333333
0.098333333,0.215833333,-0.041666667,-0.465833333,-0.448333333,-0.125833333
-1.226666667,-0.445,-0.1525,-0.0775,0.755,-0.130833333
1.1675,1.091666667,0.068333333,-0.1375,0.199166667,-0.056666667
-0.800833333,-0.6625,-0.056666667,-0.035,0.139166667,-0.03
0.106666667,0.051666667,-0.050833333,0.060833333,0.053333333,-0.0225
0.778333333,0.396666667,0.1225,1.363333333,-0.810833333,0.021666667
-1.049166667,-0.760833333,-0.1075,-1.623333333,0.1125,-0.05
0.298333333,0.1425,-0.006666667,-0.045833333,0.571666667,0.008333333
0.461666667,0.296666667,0.053333333,1.545,-0.6125,-0.0075
0.488333333,0.584166667,0.006666667,0.664166667,0.326666667,-0.0825
-0.063333333,0.021666667,0.006666667,3.23,0.1675,-0.019166667
0.876666667,0.439166667,0.083333333,2.313333333,-0.348333333,0.011666667
-1.308333333,-0.535,-0.149166667,0.82,0.841666667,-0.04
0.825833333,0.788333333,0.0675,0.569166667,-0.379166667,-0.09
-0.308333333,0.274166667,-0.09,-0.165,0.668333333,-0.115833333
0.9,0.605833333,0.075833333,-0.156666667,0.125833333,-0.056666667
-0.830833333,-0.289166667,-0.1375,-0.0075,0.7575,-0.0775
1.015833333,0.5975,0.134166667,-0.195833333,-0.349166667,-0.0125
0.155,0.088333333,0.0075,0.075833333,0.303333333,-0.04
-0.005833333,0.2225,-0.048333333,0.099166667,0.12,-0.050833333
-0.403333333,0.334166667,-0.109166667,-0.355,0.648333333,-0.131666667
0.483333333,0.189166667,0.068333333,0.018333333,0.1925,-0.021666667
0.711666667,0.2475,0.055,0.914166667,-0.2175,0.03
-1.156666667,-0.320833333,-0.1725,-1.046666667,0.185833333,-0.154166667
-1.305833333,-0.78,-0.1225,0.1425,0.159166667,0.0275
-0.1,-0.2875,0.031666667,-0.025,-0.11,0.063333333
0.399166667,-0.5325,0.089166667,0.996666667,-0.373333333,0.149166667
-1.354166667,-0.561666667,-0.145833333,-0.87,-0.055833333,-0.090833333
0.670833333,0.31,0.088333333,-0.03,-0.2275,0.028333333
-0.2325,0.1875,-0.023333333,-0.0325,-0.0975,-0.016666667
0.298333333,0.24,0.009166667,0.315833333,0.5975,0.019166667
0.370833333,0.388333333,0.019166667,-0.18,0.075,-0.0575
0.310833333,0.146666667,0.041666667,0.549166667,0.095,0.060833333
