eturb_m1_steam_flow_in,eturb_m2_steam_flow_in,boiler_m1_outlet_steam_flow,boiler_m3_outlet_steam_flow,steampipeline_p1_hp_steam_pressure
80.01583333,78.09333333,75.66666667,75.15833333,3.073333333
80.14666667,76.505,75.95,74.95833333,3.0775
81.35583333,76.51416667,76.525,75.525,3.074166667
80.18666667,75.16416667,76.13333333,74.95833333,3.084166667
79.62916667,74.75,75.86666667,74.44166667,3.103333333
79.50833333,74.8375,76.15,74.06363636,3.111666667
79.55833333,74.97583333,76.18333333,74.125,3.118333333
79.27333333,74.96416667,75.98333333,74.1,3.120833333
80.29666667,74.92583333,76.4,74.5,3.110833333
79.35166667,74.83333333,76.075,74.125,3.105833333
79.96166667,76.3925,76.45833333,74.31666667,3.101666667
79.21166667,74.74,76.15833333,73.86666667,3.108333333
78.90333333,74.81083333,75.73333333,73.61666667,3.121666667
78.56666667,74.95083333,75.44166667,73.73333333,3.121666667
77.6875,75.11333333,74.90833333,73.325,3.140833333
78.18,75.39,75.175,73.48333333,3.149166667
78.995,75.4425,75.63333333,74.00833333,3.146666667
78.2075,75.6075,75.38333333,73.875,3.148333333
77.91666667,75.70416667,75.29166667,73.70833333,3.165833333
77.165,75.27583333,74.8,73.05,3.200833333
77.095,75.72083333,74.88333333,73.30833333,3.224166667
77.31583333,75.98583333,75.21666667,73.55833333,3.228333333
77.6725,75.9175,75.46666667,73.375,3.24
78.43,76.11916667,75.75833333,74.125,3.223333333
76.99333333,75.73636364,74.65833333,73.50833333,3.239166667
78.07083333,76.04916667,75.44166667,74.075,3.221666667
77.33916667,75.32166667,74.64166667,73.60833333,3.226666667
78.15666667,76.11083333,74.85833333,74.51666667,3.206666667
77.35083333,75.47916667,74.15,74.00833333,3.204166667
78.23583333,75.49,74.275,74.49166667,3.198333333
77.5875,75.865,74.00833333,74.69166667,3.188333333
78.35083333,75.83583333,74.15,75.09166667,3.1775
77.41,75.48333333,73.6,74.59166667,3.1825
77.61416667,75.40083333,74.01666667,74.34166667,3.185833333
77.91583333,75.85,74.83333333,74.20833333,3.196666667
79.39,76.2075,75.85833333,74.68333333,3.185833333
78.2075,76.29583333,75.76666667,74.11666667,3.203333333
79.33583333,76.465,76.65,74.29166667,3.2025
79.52416667,76.47666667,76.90833333,74.26666667,3.195833333
79.63416667,76.31916667,77.11666667,73.95,3.190833333
79.31416667,76.28666667,76.71666667,73.94166667,3.1875
78.5325,76.1375,76.34166667,73.69090909,3.1925
78.55166667,76.18083333,76.375,73.78333333,3.196666667
79.8475,76.08083333,76.575,74.45,3.186363636
78.42166667,76.37166667,75.69166667,74.275,3.197272727
78.7125,76.2625,75.61666667,74.60833333,3.191818182
77.23583333,75.65583333,74.25,74.14166667,3.225
77.57,75.97583333,74.36666667,74.64166667,3.236666667
77.45583333,75.745,74.25833333,74.425,3.250833333
78.26083333,76.405,74.975,74.98333333,3.2525
77.41416667,76.05166667,74.63333333,74.25833333,3.2775
77.55083333,76.95,75.2,74.71666667,3.275833333
78.29666667,75.92916667,75.2,74.31666667,3.298333333
77.55416667,76.20833333,75.10833333,74.01818182,3.308333333
78.01333333,76.54727273,75.43333333,74.24166667,3.315
78.06333333,76.3975,75.16666667,74.61666667,3.306666667
78.47083333,76.34083333,75.05833333,74.95454545,3.309166667
77.5575,75.72583333,74.24166667,74.525,3.311666667
78.03833333,71.69916667,72.43333333,72.96666667,3.371666667
78.27333333,72.75666667,72.875,73.5,3.391666667
78.91916667,74.93666667,73.94166667,75.13333333,3.363333333
79.04583333,74.7475,73.475,75.45,3.349166667
79.115,74.7475,73.15,75.74166667,3.330833333
78.7725,75.0725,73.025,75.94545455,3.310833333
79.69166667,76.17916667,73.91666667,76.81666667,3.2575
79.10833333,75.55416667,73.31666667,76.30833333,3.231666667
79.20583333,75.45,73.29166667,76.15833333,3.204166667
78.25166667,74.9625,72.84166667,75.34166667,3.193333333
79.46666667,75.18,73.69166667,75.84166667,3.151666667
80.13083333,75.03333333,74.51666667,76.19166667,3.110833333
80.22916667,74.5675,74.88333333,76.175,3.083636364
79.0025,74.49,74.73333333,75.38333333,3.076666667
80.17,74.3525,75.28333333,75.73333333,3.071666667
79.36916667,74.3175,75.33333333,75.31666667,3.065
79.47583333,74.37833333,75.06666667,75.29166667,3.066666667
80.25416667,75.74166667,75.24166667,76.175,3.049166667
79.205,74.11833333,74.625,75.76666667,3.054166667
79.50333333,74.0725,74.475,76.11666667,3.058333333
79.965,75.6175,74.475,76.81666667,3.045
80.45333333,76.28166667,74.65833333,76.975,3.035833333
80.39,79.51166667,74.39166667,77.28333333,3.033333333
81.26666667,81.825,74.59166667,77.84166667,3.025833333
79.95833333,82.645,73.66666667,77.43636364,3.024166667
80.78416667,83.21416667,74.16666667,77.84166667,3.005833333
80.47583333,83.04916667,74.11666667,77.525,2.998333333
81.37583333,82.8925,74.60833333,78.05833333,2.978333333
80.545,82.885,74.16666667,77.49166667,2.980833333
81.56083333,82.68916667,74.85833333,77.90833333,2.968181818
81.71583333,82.765,74.98333333,78.075,2.958333333
81.71,82.86416667,75.20833333,78.29166667,2.946666667
81.30666667,82.50916667,74.63333333,77.84166667,2.950833333
81.79,82.5275,74.93333333,78.45833333,2.9375
82.50166667,83.44166667,75.75,79.51666667,2.913
81.345,82.395,74.68333333,78.45,2.92
