time,ExtCondensTurbineOP.electricity_generation_eturb_m2,ExtCondensTurbineOP.steam_flow_side_eturb_m1,ExtCondensTurbineOP.hp_steam_machine_opt_array_eturb_m1,SteamPipelineOP.lp_steam_actual,SteamPipelineOP.electricity_power_ext,ExtCondensTurbineOP.hp_steam_machine_opt_array_eturb_m2,ExtCondensTurbineOP.electricity_machine_opt_array_eturb_m1,ExtCondensTurbineOP.lp_steam_machine_opt_array_eturb_m1,ExtCondensTurbineOP.steam_flow_in_eturb_m2,ExtCondensTurbineOP.lp_steam_machine_opt_array_eturb_m2,ExtCondensTurbineOP.steam_flow_in_eturb_m1,SteamPipelineOP.electricity_price_ext,ExtCondensTurbineOP.electricity_machine_opt_array_eturb_m2,SteamPipelineOP.lp_steam_pred_avg,SteamPipelineOP.electricity_power_pred_avg,SteamPipelineOP.electricity_power_actual,ExtCondensTurbineOP.electricity_generation_eturb_m1,SteamPipelineOP.total_cost_actual,SteamPipelineOP.total_cost_optim_array,ExtCondensTurbineOP.steam_flow_side_eturb_m2
2020-09-12 04:08:00,11.1975,25.651666666666667,83.38718950094048,45.40083333333334,0.11,75.3871895009406,11.646249999999474,26.78205555555689,76.72833333333334,23.532055555556838,82.60333333333334,0.32036875,10.926249999999508,52.87961111111111,22.5625,21.813333333333333,11.618333333333334,17232.50107623333,17306.170737380366,24.065833333333334
2020-09-12 04:09:00,11.136666666666668,24.803333333333338,83.38718950094048,45.38083333333333,0.41250000000000003,75.3871895009406,11.646249999999474,26.78205555555689,76.61333333333336,23.532055555556838,80.84416666666668,0.32036875,10.926249999999508,52.87961111111111,22.5625,21.989166666666666,11.499166666666666,17297.791040725,17306.170737380366,24.925833333333333
2020-09-12 04:10:00,11.282499999999999,26.739166666666662,83.38718950094048,47.110833333333325,-0.07333333333333333,75.3871895009406,11.646249999999474,26.78205555555689,77.49666666666666,23.532055555556838,83.49916666666668,0.32036875,10.926249999999508,52.87961111111111,22.5625,21.81333333333333,11.645000000000003,17525.044350075,17306.170737380366,25.524999999999995
2020-09-12 04:11:00,11.229999999999999,26.17916666666667,83.38718950094048,46.73499999999999,0.11,75.3871895009406,11.646249999999474,26.78205555555689,77.31666666666668,23.532055555556838,82.72749999999998,0.32036875,10.926249999999508,52.87961111111111,22.5625,22.025000000000002,11.568333333333333,17531.772792058335,17306.170737380366,25.48166666666667
2020-09-12 04:12:00,11.220833333333333,26.08333333333334,64.16021539529301,47.163333333333334,0.33,60.757715395293204,7.429999999954857,25.050833333338293,77.54666666666667,26.150833333338234,82.40333333333334,0.32036875,7.297499999954916,53.76858333333333,22.7175,21.809166666666666,11.535833333333334,17403.135665458332,16178.81832848485,26.19083333333333
2020-09-12 04:13:00,11.223333333333334,26.063333333333336,64.16021539529301,45.343333333333334,0.55,60.757715395293204,7.429999999954857,25.050833333338293,77.88166666666667,26.150833333338234,82.315,0.32036875,7.297499999954916,53.76858333333333,22.7175,22.32166666666667,11.526666666666666,17554.73442645,16178.81832848485,26.730833333333333
2020-09-12 04:14:00,11.052500000000002,23.890833333333337,64.16021539529301,45.597500000000004,1.2650000000000001,60.757715395293204,7.429999999954857,25.050833333338293,77.25000000000001,26.150833333338234,79.19583333333334,0.32036875,7.297499999954916,53.76858333333333,22.7175,22.46833333333333,11.380833333333333,17172.7083833,16178.81832848485,26.516666666666666
2020-09-12 04:15:00,11.088333333333333,23.89333333333333,64.16021539529301,45.14083333333334,0.6050000000000001,60.757715395293204,7.429999999954857,25.050833333338293,77.85416666666667,26.150833333338234,79.2475,0.32036875,7.297499999954916,53.76858333333333,22.7175,22.17333333333333,11.428333333333333,17566.90936033333,16178.81832848485,27.1525
2020-09-12 04:16:00,11.259999999999998,24.335833333333337,64.16021539529301,45.853333333333325,0.27,60.757715395293204,7.429999999954857,25.050833333338293,78.90333333333334,26.150833333338234,79.97916666666667,0.32036875,7.297499999954916,53.76858333333333,22.7175,21.944166666666664,11.518333333333333,17571.279601533337,16178.81832848485,28.361666666666668
2020-09-12 04:17:00,11.085833333333333,24.119999999999994,64.16021539529301,45.39749999999999,0.825,60.757715395293204,7.429999999954857,25.050833333338293,77.41666666666667,26.150833333338234,79.93666666666667,0.32036875,7.297499999954916,53.76858333333333,22.7175,22.395,11.572499999999998,18124.581357908333,16178.81832848485,27.072500000000005
